,OCID,Category,Predicted,CleanText
75,ocds-591adf-0048000024,Stabilization,other,"no legislative or regulatory provision occurring after the effective date may be applied to kosmos which would as a direct or an indirect effect diminish the rights of kosmos or increase its obligations under this contract and the legislation and regulations in force upon the effective date of this contract without the prior agreement of kosmos and the government however this does not apply to legislative and regulatory provisions which are generally applicable in the matter of safety of persons and of protection of the environment or employment law which are adopted after the effective date 

except for taxes fees and dues provided in title vi of the crude hydrocarbons code for special taxes related to the utilization of drinking water or of irrigation water for the surface rentals provided for in this contract kosmos shall not be subject to any tax fees royalties payments and contributions of any nature whatsoever be they national regional or municipal either in effect now or in the future which may burden the petroleum operations and of any revenue derived therefrom or more generally the property the activities or action of kosmos including its facility its money transfers and its operation in implementation of this contract that these exemptions are only applicable to petroleum operations "
81,ocds-591adf-0048000024,Stabilization,other,"no legislative or regulatory provision occurring after the effective date may be applied to kosmos which would as a direct or an indirect effect diminish the rights of kosmos or increase its obligations under this contract and the legislation and regulations in force upon the effective date of this contract without the prior agreement of kosmos and the government however this does not apply to legislative and regulatory provisions which are generally applicable in the matter of safety of persons and of protection of the environment or employment law which are adopted after the effective date 

except for taxes fees and dues provided in title vi of the crude hydrocarbons code for special taxes related to the utilization of drinking water or of irrigation water for the surface rentals provided for in this contract kosmos shall not be subject to any tax fees royalties payments and contributions of any nature whatsoever be they national regional or municipal either in effect now or in the future which may burden the petroleum operations and of any revenue derived therefrom or more generally the property the activities or action of kosmos including its facility its money transfers and its operation in implementation of this contract that these exemptions are only applicable to petroleum operations "
145,ocds-591adf-0056582197,Royalties,other,the government share shall be the excise tax on mineral products at the time of removal and at the rate provided for in republic act no 7729 amending section 151 a of the national internal revenue code as amended as well as other taxes duties and fees levied by existing laws
180,ocds-591adf-0056582197,Stabilization,other,any terms and conditions resulting from repeal or amendment of any existing laws or regulations or from the enactment of a law regulation or administrative order shall be considered a part of the agreement
515,ocds-591adf-0274601496,Stabilization,other,the government will not restrict geovic cameroon s internal business operation and management including its freedom to hire promote and fire its personnel and employees the government shall not modify the legal fiscal and customs regimes currently in force in such a way as to adversely affect the rights and obligations of geovic cameroon arising from this convention no legislative regulatory or administrative measure contrary to the provisions of this convention shall apply to geovic without geovic cameroon s prior written consent 
566,ocds-591adf-0290550345,Royalties,other,royalty tax is determined by the mining regulations in force smem is also subject to mining duties and taxes for fixed duties annual surface fees administrative fees and the ad valorem tax the amount due and the terms of such duties taxes and charges are determined by the mining regulations in force 
569,ocds-591adf-0290550345,Stabilization,other,smem must keep a control register of the quantity of ore and a control register of the quantity and contents metals or other related substances at the mine authorized burundi administration representatives may check the control registers all control register information is confidential and may not be divulged to third parties without prior consent 
937,ocds-591adf-0523462294,Royalties,other,"royalty rates shall apply as follows 
 onshore areas 20 00 
 areas up to 100 metres water depth 18 50 
 areas from 101 to 200 metres water depth 16 60 
 areas from 201 to 500 metres water depth 12 00 
 areas from 501 to 800 metres water depth 8 00 
 areas from 801 to 1000 metres water depth 8 00 
 areas in water depth higher than 1000 meters 8 00 
 inland basins 10 00 "
994,ocds-591adf-0557496060,Royalties,other,subject to the provisions of the petroleum act the company shall pay quarterly on or before the last day of each calendar month following each quarter for the benefit of the state revenue fund a royalty of 5 on the market value of petroleum produced and saved in the production area during each quarter 
1299,ocds-591adf-0648943319,Royalties,other,"in accordance with the petroleum law and decree no 19 04 of 2 june the concessionaire shall deliver to the government in kind as petroleum production tax 

 i in respect of natural gas produced from deposits in the contract area onshore a quantity of 5 of the natural gas in respect of crude oil produced from deposits in the contract area
located onshore a quantity of 8 of the crude oil 

 ii in respect of natural gas produced from deposits in the contract area in water depth less than 100 metres a quantity of 4 of the natural gas and in respect of crude oil produced from deposits in the contract area in water depth less than 100 metres a quantity of 7 of the crude oil 

 iii in respect of natural gas produced from deposits in the contract area in water depth equal to or in excess of 100 metres and less than 500 metres a quantity of 3 of the natural gas and in respect of crude oil produced from deposit is in the contract area in water depth equal to or in excess of 100 metres and less than 500 metres a quantity of 5 of the crude oil and 

 iv in respect of natural gas produced from deposits in the contract area in water depth equal to or in excess of 500 metres a quantity of 2 of the natural gas and in respect of crude oil produced from deposits in the contract area at a water depth equal to or in excess of 500 metres a quantity of 3 of the crude oil 

the government may in lieu of the petroleum production tax deliverable in kind by 180 days notice require the concessionaire to pay to the government each month fully or partly in cash the relevant percentage of the value ascertained in accordance with the provisions of article 11 which deals with fiscal terms and other charges of the crude oil and the natural gas which has been produced from the contract area in that month "
