652454637	20170503	201705	2017	2017.3370	AFG	AFGHAN	AFG								MOS	ISLAMIC				MOS					1	010	010	01	1	0.0	8	1	8	-9.99999999999998	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20170503184500	Sedai Khelafat radio in Pashto/BBC Monitoring/(c) BBC
652454638	20170503	201705	2017	2017.3370	CVL	CONSTITUENT						CVL			GOV	PRESIDENT						GOV			1	141	141	14	3	-6.5	4	1	4	-8.27067669172932	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	20170503184500	El Nacional website, Caracas/BBC Monitoring/(c) BBC
652454639	20170503	201705	2017	2017.3370	CVL	CONSTITUENT						CVL			OPP	OPPOSITION LEADER						OPP			1	114	114	11	3	-2.0	3	1	3	-8.27067669172932	4	Las Mercedes, Estado Guarico, Venezuela	VE	VE12	31997	8.65761	-65.5352	-949729	4	Las Mercedes, Estado Guarico, Venezuela	VE	VE12	31997	8.65761	-65.5352	-949729	4	Las Mercedes, Estado Guarico, Venezuela	VE	VE12	31997	8.65761	-65.5352	-949729	20170503184500	El Nacional website, Caracas/BBC Monitoring/(c) BBC
652454640	20170503	201705	2017	2017.3370	CVL	CONSTITUENT						CVL			OPP	OPPOSITION LEADER						OPP			1	114	114	11	3	-2.0	2	1	2	-8.27067669172932	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	20170503184500	El Nacional website, Caracas/BBC Monitoring/(c) BBC
652454641	20170503	201705	2017	2017.3370	CVL	CONSTITUENT						CVL			VENGOV	VENEZUELA	VEN					GOV			1	141	141	14	3	-6.5	1	1	1	-8.27067669172932	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	20170503184500	El Nacional website, Caracas/BBC Monitoring/(c) BBC
652454642	20170503	201705	2017	2017.3370	GOV	PRESIDENT						GOV			OPP	THE OPPOSITION						OPP			0	112	112	11	3	-2.0	6	1	6	-8.27067669172932	4	Las Mercedes, Estado Guarico, Venezuela	VE	VE12	31997	8.65761	-65.5352	-949729	4	Las Mercedes, Estado Guarico, Venezuela	VE	VE12	31997	8.65761	-65.5352	-949729	4	Las Mercedes, Estado Guarico, Venezuela	VE	VE12	31997	8.65761	-65.5352	-949729	20170503184500	El Nacional website, Caracas/BBC Monitoring/(c) BBC
652454643	20170503	201705	2017	2017.3370	GOV	PRESIDENT						GOV			OPP	THE OPPOSITION						OPP			0	112	112	11	3	-2.0	2	1	2	-8.27067669172932	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	20170503184500	El Nacional website, Caracas/BBC Monitoring/(c) BBC
652454644	20170503	201705	2017	2017.3370	OPP	THE OPPOSITION						OPP			GOV	PRESIDENT						GOV			1	110	110	11	3	-2.0	3	1	3	-8.27067669172932	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Las Mercedes, Estado Guarico, Venezuela	VE	VE12	31997	8.65761	-65.5352	-949729	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	20170503184500	El Nacional website, Caracas/BBC Monitoring/(c) BBC
652454645	20170503	201705	2017	2017.3370	OPP	THE OPPOSITION						OPP			GOV	PRESIDENT						GOV			1	110	110	11	3	-2.0	2	1	2	-8.27067669172932	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	20170503184500	El Nacional website, Caracas/BBC Monitoring/(c) BBC
652454646	20170503	201705	2017	2017.3370	RUS	RUSSIAN	RUS								RUSMIL	RUSSIA	RUS					MIL			1	190	190	19	4	-10.0	2	1	2	-5.30973451327434	4	Bratsk, Irkutskaya Oblast', Russia	RS	RS20	25066	56.1497	101.608	-2893172	4	Bratsk, Irkutskaya Oblast', Russia	RS	RS20	25066	56.1497	101.608	-2893172	4	Bratsk, Irkutskaya Oblast', Russia	RS	RS20	25066	56.1497	101.608	-2893172	20170503184500	Interfax news agency, Moscow/BBC Monitoring/(c) BBC
652454647	20170503	201705	2017	2017.3370	RUS	RUSSIAN	RUS								RUSMIL	RUSSIA	RUS					MIL			1	190	190	19	4	-10.0	2	1	2	-5.30973451327434	4	Bratsk, Irkutskaya Oblast', Russia	RS	RS20	25066	56.1497	101.608	-2893172	4	Bratsk, Irkutskaya Oblast', Russia	RS	RS20	25066	56.1497	101.608	-2893172	1	Syria	SY	SY		35	38	SY	20170503184500	Interfax news agency, Moscow/BBC Monitoring/(c) BBC
652454648	20170503	201705	2017	2017.3370	SYR	SYRIA	SYR								MIL	SERVICEMAN						MIL			1	190	190	19	4	-10.0	8	1	8	-5.30973451327434	4	Bratsk, Irkutskaya Oblast', Russia	RS	RS20	25066	56.1497	101.608	-2893172	4	Bratsk, Irkutskaya Oblast', Russia	RS	RS20	25066	56.1497	101.608	-2893172	4	Bratsk, Irkutskaya Oblast', Russia	RS	RS20	25066	56.1497	101.608	-2893172	20170503184500	Interfax news agency, Moscow/BBC Monitoring/(c) BBC
652454649	20170503	201705	2017	2017.3370	SYR	SYRIA	SYR								RUSMIL	RUSSIAN	RUS					MIL			1	190	190	19	4	-10.0	6	1	6	-5.30973451327434	1	Syria	SY	SY		35	38	SY	4	Bratsk, Irkutskaya Oblast', Russia	RS	RS20	25066	56.1497	101.608	-2893172	4	Bratsk, Irkutskaya Oblast', Russia	RS	RS20	25066	56.1497	101.608	-2893172	20170503184500	Interfax news agency, Moscow/BBC Monitoring/(c) BBC
652454650	20170503	201705	2017	2017.3370	SYR	SYRIA	SYR								RUSMIL	RUSSIAN	RUS					MIL			1	190	190	19	4	-10.0	6	1	6	-5.30973451327434	1	Syria	SY	SY		35	38	SY	4	Bratsk, Irkutskaya Oblast', Russia	RS	RS20	25066	56.1497	101.608	-2893172	1	Syria	SY	SY		35	38	SY	20170503184500	Interfax news agency, Moscow/BBC Monitoring/(c) BBC
652454651	20170503	201705	2017	2017.3370	SYR	SYRIA	SYR								RUSMIL	RUSSIA	RUS					MIL			1	190	190	19	4	-10.0	2	1	2	-5.30973451327434	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	4	Bratsk, Irkutskaya Oblast', Russia	RS	RS20	25066	56.1497	101.608	-2893172	20170503184500	Interfax news agency, Moscow/BBC Monitoring/(c) BBC
652454652	20170503	201705	2017	2017.3370	VEN	VENEZUELA	VEN								OPP	OPPOSITION LEADER						OPP			1	010	010	01	1	0.0	2	1	2	-8.27067669172932	4	Las Mercedes, Estado Guarico, Venezuela	VE	VE12	31997	8.65761	-65.5352	-949729	4	Las Mercedes, Estado Guarico, Venezuela	VE	VE12	31997	8.65761	-65.5352	-949729	4	Las Mercedes, Estado Guarico, Venezuela	VE	VE12	31997	8.65761	-65.5352	-949729	20170503184500	El Nacional website, Caracas/BBC Monitoring/(c) BBC
652454653	20170503	201705	2017	2017.3370	VEN	VENEZUELA	VEN								OPP	OPPOSITION LEADER						OPP			1	010	010	01	1	0.0	2	1	2	-8.27067669172932	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	20170503184500	El Nacional website, Caracas/BBC Monitoring/(c) BBC
652454654	20170503	201705	2017	2017.3370	VENGOV	VENEZUELA	VEN					GOV			OPP	THE OPPOSITION						OPP			0	112	112	11	3	-2.0	2	1	2	-8.27067669172932	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	4	Tamanaco, Cojedes, Venezuela	VE	VE08	32151	9.89752	-68.3422	-959220	20170503184500	El Nacional website, Caracas/BBC Monitoring/(c) BBC
