,ocid,template
0,ocds-591adf-3757991515,oneoff
1,ocds-591adf-4472360738,1A
2,ocds-591adf-6005604716,1B
3,ocds-591adf-0929569171,1A
4,ocds-591adf-1835848694,1B
5,ocds-591adf-4977579802,1A
6,ocds-591adf-3212507685,1A
7,ocds-591adf-5978990122,3B
8,ocds-591adf-8201633114,3B
9,ocds-591adf-0075411163,1A
10,ocds-591adf-2543839071,1A
11,ocds-591adf-1990915353,1A
12,ocds-591adf-1393397662,1C
13,ocds-591adf-8368260751,
14,ocds-591adf-9844860754,1C
15,ocds-591adf-9208160921,1A
16,ocds-591adf-6696511613,1A
17,ocds-591adf-0083596491,1A
18,ocds-591adf-1900505079,1C
19,ocds-591adf-6012864853,1C
20,ocds-591adf-6155018199,1C
21,ocds-591adf-3824268091,1C
22,ocds-591adf-3751727488,1C
23,ocds-591adf-1424338090,1C
24,ocds-591adf-0640514048,1A
25,ocds-591adf-8564429744,1C
26,ocds-591adf-0781051765,1A
27,ocds-591adf-0421393552,1C
28,ocds-591adf-0742047974,1C
29,ocds-591adf-2719937589,1A
30,ocds-591adf-6626006637,1C
31,ocds-591adf-0982191402,2A
32,ocds-591adf-1344520384,2A
33,ocds-591adf-0048769837,2B
34,ocds-591adf-7753481070,1B
35,ocds-591adf-8803822988,1B
36,ocds-591adf-2676173933,1C
37,ocds-591adf-0304549855,1A
38,ocds-591adf-3762562951,1C
39,ocds-591adf-6713867467,1C
40,ocds-591adf-1599142675,1A
41,ocds-591adf-0374172483,1C
42,ocds-591adf-3173477058,1A
43,ocds-591adf-7087857453,2C
44,ocds-591adf-6749062117,2C
45,ocds-591adf-9584199744,1B
46,ocds-591adf-0027576505,1C
47,ocds-591adf-4053965677,1A
48,ocds-591adf-9864231586,1C
49,ocds-591adf-4023162861,1C
50,ocds-591adf-3484002062,1B
51,ocds-591adf-2324387295,1A
52,ocds-591adf-7725261062,1C
53,ocds-591adf-2960921626,1A
54,ocds-591adf-6266688800,1B
55,ocds-591adf-1063902547,1B
56,ocds-591adf-4891419551,1B
57,ocds-591adf-4539146649,1B
58,ocds-591adf-7995387830,1A
59,ocds-591adf-1953187130,1A
60,ocds-591adf-0856116931,1C
61,ocds-591adf-6176694140,1A
62,ocds-591adf-5392099279,1B
63,ocds-591adf-7711595368,1B
64,ocds-591adf-1959450407,1A
65,ocds-591adf-4515839887,1A
66,ocds-591adf-2985497670,1A
67,ocds-591adf-2076816277,1B
68,ocds-591adf-8951550494,1B
69,ocds-591adf-6577988969,1C
70,ocds-591adf-8065650563,1B
71,ocds-591adf-6112091133,1A
72,ocds-591adf-5792651943,1A
73,ocds-591adf-5848991193,1A
74,ocds-591adf-3419068261,2A
75,ocds-591adf-5834131316,2A
76,ocds-591adf-8560734374,1A
77,ocds-591adf-3434080334,1A
78,ocds-591adf-1142200771,1B
79,ocds-591adf-9645096819,1A
80,ocds-591adf-2272060363,1A
81,ocds-591adf-7304502537,2C
82,ocds-591adf-6203514165,2C
83,ocds-591adf-4966736928,1A
84,ocds-591adf-5976674032,1C
85,ocds-591adf-3508491732,2B
86,ocds-591adf-8228200502,2A
87,ocds-591adf-3710317476,1B
88,ocds-591adf-9316230710,3B
89,ocds-591adf-7493980687,1A
90,ocds-591adf-6872304960,1A
91,ocds-591adf-8331896069,2B
92,ocds-591adf-7882794324,2B
93,ocds-591adf-4204873445,1B
94,ocds-591adf-6115191223,2A
95,ocds-591adf-3223591068,1B
96,ocds-591adf-0864633129,1A
97,ocds-591adf-0070222386,2C
98,ocds-591adf-5358845209,2B
99,ocds-591adf-0857214071,1C
100,ocds-591adf-7919066275,1A
101,ocds-591adf-6724750267,1A
102,ocds-591adf-8934817155,1A
103,ocds-591adf-2908318711,2B
104,ocds-591adf-6935276590,1A
105,ocds-591adf-7793227103,2B
106,ocds-591adf-5317018229,2B
107,ocds-591adf-7093801876,1C
108,ocds-591adf-2269582291,2C
109,ocds-591adf-3157711052,1A
110,ocds-591adf-3316958152,1C
111,ocds-591adf-6326691263,1A
112,ocds-591adf-9201648630,2A
113,ocds-591adf-9115310768,2C
114,ocds-591adf-8820234307,2C
115,ocds-591adf-9669671805,1A
116,ocds-591adf-0616817020,2C
117,ocds-591adf-0855371527,2C
118,ocds-591adf-0921285528,2C
119,ocds-591adf-7718448031,2C
120,ocds-591adf-0737892348,2C
121,ocds-591adf-2862910055,2B
122,ocds-591adf-7818544606,2B
123,ocds-591adf-4909665590,1A
124,ocds-591adf-1432977950,2C
125,ocds-591adf-6800054916,2C
126,ocds-591adf-3437474455,2C
127,ocds-591adf-7212601903,2B
128,ocds-591adf-8001318248,2C
129,ocds-591adf-8307320141,2C
130,ocds-591adf-2635755922,2C
131,ocds-591adf-6187166467,2C
132,ocds-591adf-6237477089,2C
133,ocds-591adf-0925073922,2C
134,ocds-591adf-0621960018,2C
135,ocds-591adf-2096071243,2C
136,ocds-591adf-2458536233,2A
137,ocds-591adf-3303812608,2C
138,ocds-591adf-4038692961,3A
139,ocds-591adf-4257220858,3A
140,ocds-591adf-3262972300,1A
141,ocds-591adf-5861877010,1A
142,ocds-591adf-7278935628,3A
143,ocds-591adf-7334077617,3A
