,ocid,Level_00,Level_01,Level_02,Level_03,Level_04,Level_05,Level_06
0,ocds-591adf-3757991515,0,0.0,0.0.0,0.0.0.0,0.0.0.0.0,0.0.0.0.0.0,0.0.0.0.0.0
1,ocds-591adf-4472360738,0,0.0,0.0.0,0.0.0.0,0.0.0.0.0,0.0.0.0.0.1,0.0.0.0.0.1
2,ocds-591adf-6005604716,0,0.1,0.1.0,0.1.0.0,0.1.0.0.0,0.1.0.0.0,0.1.0.0.0
3,ocds-591adf-0929569171,0,0.0,0.0.1,0.0.1.0,0.0.1.0.0,0.0.1.0.0,0.0.1.0.0
4,ocds-591adf-1835848694,0,0.0,0.0.2,0.0.2,0.0.2,0.0.2,0.0.2
5,ocds-591adf-4977579802,0,0.0,0.0.3,0.0.3.0,0.0.3.0,0.0.3.0,0.0.3.0
6,ocds-591adf-3212507685,0,0.0,0.0.0,0.0.0.0,0.0.0.0.2,0.0.0.0.2.0,0.0.0.0.2.0
7,ocds-591adf-5978990122,1,1.0,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0
8,ocds-591adf-8201633114,1,1.0,1.0.1,1.0.1,1.0.1,1.0.1,1.0.1
9,ocds-591adf-0075411163,0,0.0,0.0.0,0.0.0.0,0.0.0.0.2,0.0.0.0.2.2,0.0.0.0.2.2.1
10,ocds-591adf-2543839071,0,0.2,0.2.2,0.2.2.1,0.2.2.1,0.2.2.1,0.2.2.1
11,ocds-591adf-1990915353,0,0.2,0.2.2,0.2.2.1,0.2.2.1,0.2.2.1,0.2.2.1
12,ocds-591adf-1393397662,0,0.2,0.2.2,0.2.2.0,0.2.2.0.1,0.2.2.0.1,0.2.2.0.1
13,ocds-591adf-8368260751,,,,,,,
14,ocds-591adf-9844860754,2,2.2,2.2.0,2.2.0.2,2.2.0.2,2.2.0.2,2.2.0.2
15,ocds-591adf-9208160921,2,2.0,2.0.2,2.0.2.0,2.0.2.0,2.0.2.0,2.0.2.0
16,ocds-591adf-6696511613,2,2.1,2.1.1,2.1.1,2.1.1,2.1.1,2.1.1
17,ocds-591adf-0083596491,2,2.1,2.1.1,2.1.1,2.1.1,2.1.1,2.1.1
18,ocds-591adf-1900505079,2,2.1,2.1.0,2.1.0.2,2.1.0.2.1,2.1.0.2.1,2.1.0.2.1
19,ocds-591adf-6012864853,2,2.2,2.2.4,2.2.4,2.2.4,2.2.4,2.2.4
20,ocds-591adf-6155018199,2,2.1,2.1.0,2.1.0.0,2.1.0.0,2.1.0.0,2.1.0.0
21,ocds-591adf-3824268091,2,2.0,2.0.1,2.0.1,2.0.1,2.0.1,2.0.1
22,ocds-591adf-3751727488,2,2.0,2.0.1,2.0.1,2.0.1,2.0.1,2.0.1
23,ocds-591adf-1424338090,2,2.2,2.2.0,2.2.0.3,2.2.0.3.0,2.2.0.3.0,2.2.0.3.0
24,ocds-591adf-0640514048,2,2.0,2.0.1,2.0.1,2.0.1,2.0.1,2.0.1
25,ocds-591adf-8564429744,2,2.1,2.1.0,2.1.0.2,2.1.0.2.1,2.1.0.2.1,2.1.0.2.1
26,ocds-591adf-0781051765,2,2.0,2.0.3,2.0.3,2.0.3,2.0.3,2.0.3
27,ocds-591adf-0421393552,2,2.1,2.1.0,2.1.0.2,2.1.0.2.0,2.1.0.2.0,2.1.0.2.0
28,ocds-591adf-0742047974,2,2.0,2.0.3,2.0.3,2.0.3,2.0.3,2.0.3
29,ocds-591adf-2719937589,2,2.0,2.0.3,2.0.3,2.0.3,2.0.3,2.0.3
30,ocds-591adf-6626006637,2,2.2,2.2.0,2.2.0.3,2.2.0.3.1,2.2.0.3.1,2.2.0.3.1
31,ocds-591adf-0982191402,3,3.4,3.4.0,3.4.0.1,3.4.0.1,3.4.0.1,3.4.0.1
32,ocds-591adf-1344520384,4,4.0,4.0.2,4.0.2.0,4.0.2.0,4.0.2.0,4.0.2.0
33,ocds-591adf-0048769837,3,3.4,3.4.1,3.4.1.0,3.4.1.0,3.4.1.0,3.4.1.0
34,ocds-591adf-7753481070,0,0.1,0.1.0,0.1.0.1,0.1.0.1,0.1.0.1,0.1.0.1
35,ocds-591adf-8803822988,0,0.1,0.1.0,0.1.0.1,0.1.0.1,0.1.0.1,0.1.0.1
36,ocds-591adf-2676173933,0,0.3,0.3.0,0.3.0,0.3.0,0.3.0,0.3.0
37,ocds-591adf-0304549855,0,0.0,0.0.5,0.0.5.0,0.0.5.0,0.0.5.0,0.0.5.0
38,ocds-591adf-3762562951,0,0.2,0.2.3,0.2.3.0,0.2.3.0,0.2.3.0,0.2.3.0
39,ocds-591adf-6713867467,0,0.4,0.4.0,0.4.0.0,0.4.0.0,0.4.0.0,0.4.0.0
40,ocds-591adf-1599142675,0,0.0,0.0.6,0.0.6.0,0.0.6.0,0.0.6.0,0.0.6.0
41,ocds-591adf-0374172483,0,0.0,0.0.6,0.0.6.1,0.0.6.1,0.0.6.1,0.0.6.1
42,ocds-591adf-3173477058,0,0.4,0.4.0,0.4.0.1,0.4.0.1,0.4.0.1,0.4.0.1
43,ocds-591adf-7087857453,3,3.1,3.1.0,3.1.0.3,3.1.0.3,3.1.0.3,3.1.0.3
44,ocds-591adf-6749062117,3,3.1,3.1.0,3.1.0.2,3.1.0.2.1,3.1.0.2.1.1,3.1.0.2.1.1
45,ocds-591adf-9584199744,0,0.2,0.2.4,0.2.4.0,0.2.4.0,0.2.4.0,0.2.4.0
46,ocds-591adf-0027576505,0,0.5,0.5.3,0.5.3,0.5.3,0.5.3,0.5.3
47,ocds-591adf-4053965677,0,0.5,0.5.3,0.5.3,0.5.3,0.5.3,0.5.3
48,ocds-591adf-9864231586,0,0.5,0.5.0,0.5.0.1,0.5.0.1,0.5.0.1,0.5.0.1
49,ocds-591adf-4023162861,0,0.5,0.5.0,0.5.0.1,0.5.0.1,0.5.0.1,0.5.0.1
50,ocds-591adf-3484002062,0,0.5,0.5.0,0.5.0.1,0.5.0.1,0.5.0.1,0.5.0.1
51,ocds-591adf-2324387295,0,0.5,0.5.0,0.5.0.0,0.5.0.0,0.5.0.0,0.5.0.0
52,ocds-591adf-7725261062,0,0.3,0.3.4,0.3.4.0,0.3.4.0.1,0.3.4.0.1,0.3.4.0.1
53,ocds-591adf-2960921626,0,0.1,0.1.0,0.1.0.1,0.1.0.1,0.1.0.1,0.1.0.1
54,ocds-591adf-6266688800,0,0.0,0.0.8,0.0.8.1,0.0.8.1,0.0.8.1,0.0.8.1
55,ocds-591adf-1063902547,5,5.0,5.0,5.0,5.0,5.0,5.0
56,ocds-591adf-4891419551,0,0.0,0.0.8,0.0.8.0,0.0.8.0.0,0.0.8.0.0,0.0.8.0.0
57,ocds-591adf-4539146649,0,0.0,0.0.8,0.0.8.0,0.0.8.0.0,0.0.8.0.0,0.0.8.0.0
58,ocds-591adf-7995387830,0,0.0,0.0.7,0.0.7.0,0.0.7.0.0,0.0.7.0.0,0.0.7.0.0
59,ocds-591adf-1953187130,0,0.2,0.2.6,0.2.6.1,0.2.6.1,0.2.6.1,0.2.6.1
60,ocds-591adf-0856116931,0,0.2,0.2.6,0.2.6.1,0.2.6.1,0.2.6.1,0.2.6.1
61,ocds-591adf-6176694140,0,0.0,0.0.0,0.0.0.0,0.0.0.0.2,0.0.0.0.2.2,0.0.0.0.2.2.1
62,ocds-591adf-5392099279,0,0.4,0.4.1,0.4.1.0,0.4.1.0,0.4.1.0,0.4.1.0
63,ocds-591adf-7711595368,0,0.3,0.3.2,0.3.2.2,0.3.2.2,0.3.2.2,0.3.2.2
64,ocds-591adf-1959450407,0,0.0,0.0.12,0.0.12,0.0.12,0.0.12,0.0.12
65,ocds-591adf-4515839887,0,0.0,0.0.12,0.0.12,0.0.12,0.0.12,0.0.12
66,ocds-591adf-2985497670,0,0.2,0.2.1,0.2.1.0,0.2.1.0,0.2.1.0,0.2.1.0
67,ocds-591adf-2076816277,0,0.3,0.3.4,0.3.4.0,0.3.4.0.0,0.3.4.0.0,0.3.4.0.0
68,ocds-591adf-8951550494,0,0.3,0.3.4,0.3.4.0,0.3.4.0.0,0.3.4.0.0,0.3.4.0.0
69,ocds-591adf-6577988969,0,0.3,0.3.4,0.3.4.1,0.3.4.1,0.3.4.1,0.3.4.1
70,ocds-591adf-8065650563,0,0.6,0.6.1,0.6.1,0.6.1,0.6.1,0.6.1
71,ocds-591adf-6112091133,0,0.2,0.2.0,0.2.0.0,0.2.0.0,0.2.0.0,0.2.0.0
72,ocds-591adf-5792651943,6,6,6,6,6,6,6
73,ocds-591adf-5848991193,0,0.0,0.0.4,0.0.4.1,0.0.4.1.1,0.0.4.1.1,0.0.4.1.1
