,OCID,Category,Predicted,CleanText,TextLength
2,ocds-591adf-2908318711,Stabilization,other,l etat garantit tfm la stabilit de la l gislation et r glementation en vigueur au numericvalue septembre numericvalue,117
18,ocds-591adf-0420029369,Stabilization,other,el estado garantiza al contratista el beneficio de estabilidad tributaria durante la vigencia del contrato por lo cual queda sujeto nicamente al r gimen tributario vigente a la fecha de suscripci n de acuerdo a lo establecido en la entitypeentityperson numericvalue,265
19,ocds-591adf-2944436063,Stabilization,other,el estado garantiza al contratista el beneficio de estabilidad tributaria durante la vigencia del contrato por lo cual queda sujeto nicamente al r gimen tributario vigente a la fecha de suscripci n de acuerdo a lo establecido en la entitypeentityperson numericvalue,265
44,ocds-591adf-4388708715,Stabilization,other,au cas ou il est de montre par l une des parties que l equilibre e conomique ge ne ral du entityperson pris en conside ration a la date d entrentitygpeigueur est ou peut etre rompu du fait de l application de ses dispositions ou de mesures le gales ou r glementaires prentitygpepar le congo les parties proce deront d un commun accord a la re vision par avenant d une ou plusieurs entitynorption s du contrat,408
77,ocds-591adf-9736395382,Stabilization,other,mip shall be entitled to the protection provided by all applicable provisions of the entitytientitygpenistan including with respect to expropriation nationalization deprivation and confiscation of any assets,207
116,ocds-591adf-3903097607,Stabilization,other,au cas ou les v nements non pr vus par les parties modifieraient fondamentalement l quilibre du pr sent contrat entrainant ainsi une charge excessive pour l une des parties dans l ex cution de ses obligations contractuelles cette partie aura le droit de formuler une requ te en vue de demander la r vision ventuelle du pr sent contrat toute demande de r vision indiquera les motifs de la r vision et sera adress e dans un d lai raisonnable compter du moment ou la partie requ rante aura eu connaissance de l v nement et de ses incidences sur l conomie du contrat a d faut d une telle communication la partie int ress e perdra toute possibilit de formuler une requ te aux termes de la pr sente clause ,700
118,ocds-591adf-2248245813,Stabilization,other,all non local employees and workers are exempted from any federation taxes or state taxes or any fees or taxes that are newly issued entityorg is applicable in all its content unless otherwise indicated in a special text in this agreement the governmeentityperson sudan has the role of protector according to the ongoing arrangements at the present time and to the new arrangements taking place in the future this is applicable to all kinds of investments that are included in this agreement during the present and at future time ,530
119,ocds-591adf-9316230710,Stabilization,other,si por causa de una modificaci n de los porcentajes aplicables o creaci n de nuevos tributos de la base disponible del impuesto a la renta de la legislaci n aplicable del porcentaje de participaci n laboral si no existe un contrato de inversi n de grav menes contribuciones o participaciones no tarifarias del r gimen monetario y o cambiario se produce un desequilibrio en la econom a de este contrato para el concesionario minero puede pedir una negociaci n de un factor de correcci n que absorba el incremento de la carga econ mica ,534
129,ocds-591adf-7785290402,Stabilization,other,at all times entitentitypersonentityorentitypersonurdistan op sindi are to comply with and procure that their subcontentitygpeomply with the kurdistan region oil and gas law and the applicable law no provision of the production sharingentitygpentitypersonl either excuse perenco and op sindi or their subcontractors from complying with the applicable law or impair any right or privilege of the government under the applicable law ,431
146,ocds-591adf-0864171697,Stabilization,other,la loi tunisienne en vigueur la date de signature de l accord du permis du sud et les principes de droit g n ralement reconnus et appliqu s dans l industrie p troli re internationale ,183
161,ocds-591adf-9115310768,Stabilization,other,entityorg nouveau ou suppl mentaire ne sera impos la soci t pour la dur e entityorgention ,90
172,ocds-591adf-5062562123,Stabilization,other,the northern entitygpe administration agrees and commientityorgji a s for the duration of this contract to maintain the stability of the legal lax financial mining customs and economic import and export conditions of this contract ,231
182,ocds-591adf-5264428938,Stabilization,other,les droits et obligations des parties r sultant du pr sent contrat cherchent a tablir au moment de la signature du contrat l quilibre conomique entre les parties si au cours de l ex cution de la contrat des variations tr s importantes dans les conditions conomiques imposaient des charges sensiblement plus lourdes l une ou l autre des parties que celles pr vues au moment de la signature de la contrat aboutissant a des cons quences in quitables pour l une ou l autre des parties il est convenu que les parties r examineront les dispositions de la pr sente contrat dans un esprit d objectivit et de loyaut afin de retrouver l quilibre initial ,644
189,ocds-591adf-9399783777,Stabilization,other,la validit et les effets de l avenant ne pourront tre affect s par une modification du droit interne guin en ,109
198,ocds-591adf-6230864133,Stabilization,other,entityorg shall be obliged to pay taxentityorgate in accordance with the law entitygpe of cambodia ,99
203,ocds-591adf-1800799116,Stabilization,other,entityorg bermuda ii shall not be subject to any regulations issued by government from time to time that are inconsistent with the contract ,140
207,ocds-591adf-1774464193,Stabilization,other,no other taxes fees or duties will be imposed to contractor aside from those expressly listed in entitylaw of the agreeentityorgractor will be entitydateal stability according to the rights and benefits set forth in the agreement ,230
219,ocds-591adf-3034053463,Stabilization,other,if the government enacts any legislation or administrative rule or practice which results in more onerous obligations upon the entityorg than those at the date of the agreement then the government should holentityorgompany harmless in respect of the increase cost of the more onerous obligations ,296
222,ocds-591adf-6460579184,Stabilization,other,this agreement shall be governed by the laws of the entitygpe inclentityoentitydatetion of numericvalue and regulations issued thereunder as such laws are set forth in duly adopted and published legislation and the company shall in all its operations hereunder be entitled to the benefit of such laws provided that the rights and obligations of the parties specified herein shall not be enlarged reduced or otherwise modified by any future laws or regulaentitygpe force in ethiopia unless such future laws are laws or regulations relating to conservation or ecology or standards of safety and working conditions of a type and kind consistent with those then in force in the mining industry throughout the world ,711
230,ocds-591adf-3217280085,Stabilization,other,el estado garantiza al contratista el beneficio de estabilidad tributaria en los t rminos establecidos en los incisos a y entitymisc del articulo 80 de la ley general de miner a y en el reglamento as como en las leyes no numericvalue numericvalue y numericvalue adem s el impuesto a la renta el procedimiento de determinaci n y las tasas del mismo la compensaci n y o devoluci n tributaria los derechos arancelarios los tributos municipales las exoneraciones los incentivos y los dem s beneficios tributarios referentes a los impuestos y reg menes estabilizados se aplicar n de acuerdo con las normas vigentes a la fecha de suscripci n del contrato la estabilidad del impuesto general a las ventas impuesto selectivo al consumo impuesto de promoci n municipal y cualquier otro impuesto al consumo comprende a nicamente su naturaleza trasladable se incluye los reg menes especiales referentes a la devoluci n de impuesto admisi n temporal y similares as como el r gimen aplicable a las exportaciones la opci n de renuncia total del r gimen de estabilidad tributaria es por una sola y definitiva vez ,1098
