,OCID,Category,Predicted,CleanText,TextLength
68,ocds-591adf-6387856838,Stabilization,royalties,in case of a conflict between the agreement and any other law the agreement shall govern the rights obligations and duties of the parties any amendments to existing laws or policies having the effect of imposing an additional or higher tax duty custom royalty or similar charge on the entityorg shall not apply tentityorgonaire ,328
238,ocds-591adf-0056442275,Stabilization,royalties,prior to processing or exporting any portion of a tree entityperson logging company must pay log stumpage fees to the government in the amounts and at the times established byentityorglation numericvalue,203
286,ocds-591adf-0056582197,Royalties,stabilization,the government share shall be the excise tax on mineral products at the time of removal and at the rate provided for in entityfac numericvalue ameentitylawonentityorgrevenue code as amended as well as other taxes duties and fees levied by existing laws,252
379,ocds-591adf-0122591393,Royalties,stabilization,entityorg shall entitypercentrnover taxentitydateg the numericvalue year rehabilitation term of the contract this payment is to be applied against future tax obligations after this peentitygpehe laws of liberia of general application will apply ,245
534,ocds-591adf-3316958152,Royalties,stabilization,the rights obligations and liabilities of president and entityorg are individual and are not joint or collective presidenentityorgpirity will be responsible for reporting and discharging its own tax measured by their own profit or income both pirity and president will protect defend and indemnify eachother from any loss cost or liability arising from the ientityorgifying party s failure to report or discharge their fiscal obligations if separate allocation of taxentityperson possible pirity and president will adopt a mutually agreeable arrangement in order to achieve the financial results intended ,605
700,ocds-591adf-8841781775,Bonuses,royalties,entityorg shall pay a signature bonus oentitymoney10 000 on or before the execution date of this contract ,106
766,ocds-591adf-8841781775,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",stabilization,entityorg shall recover costs incurred during petroleum operations by taking an amount not exceentitypercent60 of all crude oil produced from the contract entitydate fiscal year if the petroleum costs to be recovered exceed the value ofentitydateor the fiscal year the excess shall be carried entitydatein the succeeding fiscal year s until fully recovered ,357
828,ocds-591adf-9205170350,Income tax: exemptions,stabilization,the government intends to present to entityorg region a law to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations ientitygpedistan entitygpeom kurdistan region taxation to indemnify such holders against liability to such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects for the entire durationentityorgact westernzagros its affiliates and any subcontractors shall be exempted from all taxes as a result of its income assets and activities under the contract the goventityorg indemnify westernzagros upon demand against any liability to pay any taxes assessed or imposed on it which relate to this exemption ,772
880,ocds-591adf-8810576476,Infrastructure,royalties,entityorg is authorized to construct and operate project facilities in accordance with such reasonable safety regulations relating to design construction and operation as required by international mining practicentitynorpafghan lawentityorg mcc jiangxi commits to construct at its own expense a railway associated with the project and the government entityorgassist mcc jiangxi in securing the land and route necessary for entitentityorgy undeentitycardinal the moa mcc jiangxi commits to numericvalue conduct reconnaissance survey and prepare a feasibility stentityorg accoentitydateheduentitycardinale provided in mcc jiangxi s august numericvalue numericvalue letter numericvalue upon the completion of the feasibility stentityorgthe basis of the railway project being feasible mcc entityorggxi will entityorgailway on a entitypercentate transfer boot basis a mentityorgwill arrange for percentvalue financing for the constructentityorgrailway b mcc jiangxi will design and build the railway on its own and c mcc jiangxi will own the railway and be responsible for the overall operation and managementitycardentitydaterailway upon completionentityorgay construction and commencement of operations numericvalue within numericvalue years before the full recovery ofentityorgi s investment the government should form an operating entity or joint venture operating entity with mcc jiangxi to work together tentityorgd formulentitycardinalte relevant issues and entityorgicies regarding tentityorgn and management of the railway followinentitycardentityorgvernment s takeover numericvalue after the full recovery of mcc jiangxi s investment mcc jiangxi will transfer thentityorgo the government numericvalue mcc jiangxi wilentitycardinalrovide free training concerning the maintenance operation and management of the railwayentitygpeentityorgi commits to construct at its own expense one 400entityorggawatt capacity coal fired power plant to supply electrical power to the project and to kabul and the ministry of mines commits to makeentityorgsufficient coal resources for mcc jentitylawthe power plantentityorge available sufficient land to establish thentityorg the coal resources shall be granted to mcc jiangxi pursuant to a sole sourentityorgprocess under the minerals law and on the basis of mcc jiangxi paying a reaentitynorpe royalty to be agreed upon mcc jiangxi s exploration development exploitation and use of the coal resources shall be at mcc jiangxi s sole expense and in compliance with all applicable requirements under afghan laws including those requireentityorgrning the payment of royalties and income tax the parties shall work cooperatively to locate suientityorgl resources are likely to be of a sufficient quantity and quality to fuel the power plant mcc jiangxi shall undertake all exploration development and exploitation activities in the areas identified and the ministry of mines shall provide all necessary assistance with respect to making available information and licenses to plan and expedite the necessary coal exploration and mine development ,3079
972,ocds-591adf-8987387726,Income tax: rate,royalties,entitypercent tax imposed on the taxable profentityorg parentitywork of artalendar year sub contraentitypercentxed percentvalue of payments entitypersonh hydrocarbon activities to be witheld from payments and paid to tax authority ,231
