,OCID,Category,Predicted,kjc9 Notes,kjc9 Comment,CleanText
162,ocds-591adf-0056442275,Stabilization,royalties,??,These 2 seem highly confusable,"prior to processing or exporting any portion of a tree euro liberia logging company must pay log stumpage fees to the government in the amounts and at the times established by part ii of authority regulation 107 07 
"
617,ocds-591adf-9224709687,Other - general,royalties,possible multiple labels,,"contractor is to pay to the state an additional oil entitlement aoe in accordance with the petroleum law and the petroleum income tax law numericvalue out of its share of petroleum state may elect to take the aoe in cash or in oil if the aoe is taken in cash the cash payment is based on a weighted average market price the aoe is a multi tier rate of return based mechanism which captures a share of net cash flows that exceed stipulated thresholds net cash flow for the aoe for any month is calculated as total revenues received after payment of royalties the contractor s cost oil plus share of profit oil less income taxes and allowable costs excluding interest payments and subtracting cumulative negative net cash flows in the preceding month which are adjusted based on a stipulated real rate of return 
for each tier of the aoe formula the state collects a share of the cumulative positive net cash flow with any resulting payments then subtracted for purposes of the net cash flow calculation in the next tier of the aoe this share is collected only once the threshold rate of return ror of each tier is reached 
the tiers start at a threshold of a real ror of 12 5 and from one tier to the other there is an increment of 5 in the ror reaching a threshold ror of 27 5 for the fourth account the state s aoe for the first account is 10 of the positive net cash flow for the second account 12 for the their account 16 and finally 20 for the fourth account 
no aoe is collected below a threshold ror of 12 5 "
644,ocds-591adf-9308829862,"Sacred, cultural, or historical sites",royalties,possible multiple labels,,the contractor shall pay royalties to the indigenous cultural communities for the mining of their ancestral lands at the rate of 1 of the value of the gross output of minerals sold which amounts shall be incorporated in the mining project feasibility study sec numericvalue j 1 j 5 
718,ocds-591adf-9208160921,"Sacred, cultural, or historical sites",royalties,possible multiple labels,,the contractor shall pay royalties to the indigenous cultural communities for the mining of their ancestral lands at the rate of 1 of the value of the gross output of minerals sold which amounts shall be incorporated in the mining project feasibility study sec numericvalue j 1 j 5 
892,ocds-591adf-9390285909,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,model wrong,mentions royalties,"the balance of crude oil remaining in any calendar year after deduction of royalty payments and after recoverable petroleum operations costs have been satisfied shall be shared taken and disposed of between the government and the contractor according to the following incremental scale 
average daily production of crude oil from the contract area 
first numericvalue barrels per day bpd x government x contractor 
next numericvalue bpd x government x contractor 
next numericvalue bpd x government x contractor 
next numericvalue bpd x government x contractor 
next numericvalue bpd x government x contractor 
any volume over the first numericvalue bpd x government x contractor 
the balance of natural gas remaining in any calendar year after deduction of royalty payments and after recoverable petroleum operations costs have been satisfied shall be shared taken and disposed of between the government and the contractor according to the following incremental scale 
average daily production of natural gas from the contract area 
first numericvalue million cubic foot per day x government x contractor 
next numericvalue million cubic foot per day x government x contractor 
next numericvalue million cubic foot per day x government x contractor 
next numericvalue million cubic foot per day x government x contractor 
greater than numericvalue million cubic foot per day x government x contractor 
"
918,ocds-591adf-9311596646,Income tax: rate,royalties,model wrong,mentions royalties,as of the the effective date i e 26 07 2011 the income tax rate for companies is 15 of taxable income 
992,ocds-591adf-9316251017,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,model wrong,mentions royalties,the contractor shall at all times be entitled to recover all petroleum costs inccured under this contract of up to 45 of available crude oil all export crude oil produced and saved from the contract area after deduction of any amounts due for royalty and available associated natural gas all associated natural gas produced and saved from the contract area except that which is used re injected lost flared or cannot be used or sold and 55 of available non associated natural gas all export non associated natural gas produced and saved within the contract area after deduction of amounts due for royalty in any calendar year recovery of petroleum costs shall occur in the following order 1 production costs 2 exploration costs 3 gas marketing costs 4 development costs and 5 decommissioning costs any vat shall be considered as a petroleum costs 
1044,ocds-591adf-6822686270,"Sacred, cultural, or historical sites",royalties,possible multiple labels,,the contractor shall pay royalties to the indigenous cultural communities for the mining of their ancestral lands at the rate of 1 of the value of the gross output of minerals sold 
1193,ocds-591adf-8934817155,Other - miscellaneous,royalties,model wrong,tax collection language similar to royalty language?,the government is entitled to a portion of tullow sabre and kosmos share of crude oil additional oil entitlement or aoe on the basis of the after tax inflation adjusted rate of return ror that the contractor has achieved with respect to the relevant development and production area the government can choose to receive the aoe in cash or in crude oil if the aoe is taken in cash the contractor will pay the value equivalent to the government s share of crude oil at the adjusted market price for the relevant period determined in accordance with art 11 7 the aoe is a multi tier rate of return based mechanism which captures a share of net cash flows that exceed stipulated thresholds net cash flow for the aoe for any quarter is calculated as total revenues received after payment of royalties less income taxes and allowable costs for the relevant quarter excluding interest payments for each tier of the aoe formula the government collects a share of the cumulative positive net cash flow with any resulting payments then subtracted for the purposes of net cash flow calculation in the next tier of aoe this share is collected only once the threshold rate of return of each tier is reached the threshold for the first tier is 19 for the second tier is 20 for the third tier is 25 for the fourth tier is 30 and for the fifth is 40 the government s aoe for the first account i e first tier is 5 of the positive net cash flow for the second account i e second tier is 10 for the third account i e third tier is 15 for the fourth account i e fourth tier is 20 and for the fifth account i e fifth tier is 25 no aoe is collected below a threshold rate of return of 19 
1312,ocds-591adf-9194346883,"Sacred, cultural, or historical sites",royalties,possible multiple labels,,the contractor shall recognize and respect the rights customs and traditions of indigenous cultural communities over their ancestral lands and shall pay royalties at the rate of not less than 1 of the value of the gross output of minerals sold sec 11 1 k 1
